n1,n2,n3,n4,n5,n6,c1,c2,target
0,0.23,0.23,0.55,0.04,0,f,1,0
0.1,0.38,0.38,0.55,0.06,0.06,m,1,0
0,0.08,0.08,0.55,0.48,0.04,f,1,0
0.25,0.23,0.38,0.5,0.34,0.09,f,1,0
0,1,1,0.55,0.33,0.01,m,1,0
0.1,1,1,0.55,0.33,0.01,f,1,0
0.25,0.46,0.46,0.53,0.19,0.08,f,1,1
0,1,1,0.65,0.19,0,m,1,0
0,0.62,0.62,0.53,0.19,0,m,1,0
0.1,0.62,0.69,0.55,0.32,0.1,m,1,0
0,0.23,0.23,0.61,0.04,0.07,f,1,0
0.1,0.08,0.08,0.52,0.04,0.1,f,1,0
0,0.08,0.08,0.59,0.02,0.13,f,1,0
0.25,0.31,0.38,0.51,0.29,0.07,m,1,0
0,0.46,0.46,0.55,0.28,0.02,f,1,0
0.25,0.23,0.46,0.55,0.29,0.08,m,1,0
0,0.92,0.92,0.5,0.15,0.04,m,1,0
0.25,0,0,0.55,0.01,0.01,f,0,1
0,0.08,0.08,0.53,0.01,0.14,f,1,0
0.1,0,0,0.51,0,0.05,f,0,0
0.25,0.15,0.38,0.57,0.14,0.08,f,1,0
0.5,0,0,0.57,0.54,0.11,f,0,1
0.5,0.46,0.54,0.55,0.54,0.11,f,0,0
0.5,0.15,0.31,0.53,0.12,0.08,f,1,1
0,1,1,0.55,0.25,0.05,f,1,0
0.1,0.23,0.23,0.57,0.09,0.03,f,1,0
0,0.23,0.31,0.55,0.11,0.03,f,0,0
0.1,0.62,0.62,0.55,0.09,0.1,m,1,0
0.25,0.38,0.46,0.55,0.35,0.1,f,1,0
0.25,0.08,0.15,0.55,0.35,0.05,m,0,0
